"","Date","Site","String.Zone","Max","Min","Range","X.ofSpat","Avg.Size","X.Animals","mean_three_rows"
"239","7/15/2022","940 LGN","2M",16.2,5.12,11.08,13,9.14,NA,NA
"240","7/15/2022","940 LGN","2B",8.42,3.79,4.63,5,6.368,NA,8.122923077
"241","7/15/2022","940 LGN","3T",6.98,3.87,3.11,6,5.456666667,2,NA
"242","7/15/2022","940 LGN","3M",11.58,6.32,5.26,8,7.9625,NA,NA
"243","7/15/2022","940 LGN","3B",13.49,4.12,9.37,7,10.26714286,NA,7.895436509
"244","7/15/2022","1063 SYM","1T",15.39,1.15,14.24,124,6.852580645,6,NA
"245","7/15/2022","1063 SYM","1M",18.03,1.87,16.16,246,7.458739837,NA,NA
"246","7/15/2022","1063 SYM","1B",23.12,2.11,21.01,131,7.591068702,NA,7.30079639466667
"247","7/15/2022","1063 SYM","2T",13.92,2.79,11.13,114,7.064561404,1,NA
"248","7/15/2022","1063 SYM","2M",21.15,2.27,18.88,130,8.249,NA,NA
"249","7/15/2022","1063 SYM","2B",19.49,1.98,17.51,133,8.756315789,NA,8.02329239766667
"250","7/15/2022","1063 SYM","3T",13.96,3.02,10.94,70,7.421571429,0,NA
"251","7/15/2022","1063 SYM","3M",21.8,4.2,17.6,85,8.605176471,NA,NA
"252","7/15/2022","1063 SYM","3B",12.52,2.23,10.29,28,7.105357143,NA,7.710701681
"253","7/15/2022","790 BCH","1T",7.56,4.33,3.23,3,6.213333333,0,NA
"254","7/15/2022","790 BCH","1M",NA,NA,0,0,NA,NA,NA
"255","7/15/2022","790 BCH","1B",NA,NA,0,1,3.14,NA,NA
"256","7/15/2022","790 BCH","2T",10.99,2.87,8.12,9,7.057777778,0,NA
"257","7/15/2022","790 BCH","2M",8.75,3.31,5.44,9,5.603333333,NA,NA
"258","7/15/2022","790 BCH","2B",5.46,2.64,2.82,6,4.156666667,NA,5.605925926
"259","7/15/2022","790 BCH","3T",10.02,5.68,4.34,4,7.285,3,NA
"260","7/15/2022","790 BCH","3M",NA,NA,0,0,NA,NA,NA
"261","7/15/2022","790 BCH","3B",7.47,7.44,0.03,2,7.455,NA,NA
"262","7/15/2022","461 LTH","1T",20.68,1.98,18.7,33,8.637575758,NA,NA
"263","7/15/2022","461 LTH","1M",17.15,4.66,12.49,23,8.587826087,NA,NA
"264","7/15/2022","461 LTH","1B",20.97,5.85,15.12,16,12.164375,NA,9.79659228166667
"265","7/15/2022","461 LTH","2T",15.27,3.27,12,22,8.020909091,NA,NA
"266","7/15/2022","461 LTH","2M",18.36,3.84,14.52,22,9.805454545,NA,NA
"267","7/15/2022","461 LTH","2B",18.7,4.24,14.46,43,9.467906977,NA,9.09809020433333
"268","7/15/2022","461 LTH","3T",12.65,2.94,9.71,4,6.785,NA,NA
"269","7/15/2022","461 LTH","3M",7.6,2.87,4.73,10,5.769,NA,NA
"270","7/15/2022","461 LTH","3B",18.13,5.04,13.09,25,10.012,NA,7.522
"271","7/28/2022","990 BCH","1T",21.43,3.12,18.31,99,10.30982828,0,NA
"272","7/28/2022","990 BCH","1M",20.149,2.801,17.348,97,10.08806186,NA,NA
"273","7/28/2022","990 BCH","1B",22.356,2.457,19.899,60,9.041116667,NA,9.813002269
"274","7/28/2022","990 BCH","2T",19.776,4.947,14.829,68,10.55333824,1,NA
"275","7/28/2022","990 BCH","2M",14.821,5.66,9.161,31,9.654580645,NA,NA
"276","7/28/2022","990 BCH","2B",12.17,2.595,9.575,3,6.122333333,NA,8.77675073933333
"277","7/28/2022","990 BCH","3T",15.725,4.286,11.439,53,10.21309615,2,NA
"278","7/28/2022","990 BCH","3M",12.278,1.96,10.318,15,7.740666667,NA,NA
"279","7/28/2022","990 BCH","3B",12.14,2.214,9.926,3,5.893666667,NA,7.94914316133333
"280","7/28/2022","925 LGN","1T",19.954,2.213,17.741,165,8.835757576,4,NA
"281","7/28/2022","925 LGN","1M",22.917,1.971,20.946,249,9.331228916,NA,NA
"282","7/28/2022","925 LGN","1B",21.193,2.011,19.182,137,9.234029197,NA,9.13367189633333
"283","7/28/2022","925 LGN","2T",14.297,3.191,11.106,60,7.911733333,NA,NA
"284","7/28/2022","925 LGN","2M",18.375,2.519,15.856,151,7.996913907,NA,NA
"285","7/28/2022","925 LGN","2B",19.397,2.196,17.201,106,8.903386792,NA,8.27067801066667
"286","7/28/2022","925 LGN","3T",14.367,2.711,11.656,130,9.551,1,NA
"287","7/28/2022","925 LGN","3M",17.155,3.689,13.466,91,9.110230769,NA,NA
"288","7/28/2022","925 LGN","3B",18.048,2.234,15.814,62,8.099709677,NA,8.920313482
"289","7/28/2022","918 LMT","1T",17.286,2.331,14.955,87,7.778413793,3,NA
"290","7/28/2022","918 LMT","1M",20.432,2.686,17.746,110,8.983836364,NA,NA
"291","7/28/2022","918 LMT","1B",27.244,1.228,26.016,116,10.88512931,NA,9.21579315566667
"292","7/28/2022","918 LMT","2T",13.304,1.989,11.315,77,6.138623377,2,NA
"293","7/28/2022","918 LMT","2M",15.154,2.454,12.7,63,7.173047619,NA,NA
"294","7/28/2022","918 LMT","2B",13.689,2.543,11.146,42,7.815190476,NA,7.04228715733333
"295","7/28/2022","918 LMT","3T",20.192,2.232,17.96,35,6.666628571,5,NA
"296","7/28/2022","918 LMT","3M",13.328,2.606,10.722,34,6.909764706,NA,NA
"297","7/28/2022","918 LMT","3B",15.049,1.418,13.631,27,7.395185185,NA,6.990526154
"298","7/28/2022","425 LTH","1T",13.25,4.87,8.38,8,8.694125,0,NA
"299","7/28/2022","425 LTH","1M",16.792,4.051,12.741,28,10.98585714,NA,NA
"300","7/28/2022","425 LTH","1B",24.959,2.969,21.99,58,12.14468966,NA,10.6082239333333
"301","7/28/2022","425 LTH","2T",10.84,4.617,6.223,7,6.698714286,0,NA
"302","7/28/2022","425 LTH","2M",16.696,5.033,11.663,12,11.402,NA,NA
"303","7/28/2022","425 LTH","2B",22.498,6.484,16.014,19,13.96910526,NA,10.6899398486667
"304","7/28/2022","425 LTH","3T",15.67,6.106,9.564,2,10.888,0,NA
"305","7/28/2022","425 LTH","3M",22.642,8.42,14.222,15,14.9884,NA,NA
"306","7/28/2022","425 LTH","3B",29.828,4.36,25.468,23,14.06747826,NA,13.3146260866667
"307","7/28/2022","440 GLY","1T",5.733,5.733,0,1,5.733,2,NA
"308","7/28/2022","440 GLY","1M",3.567,0.028,3.539,2,1.7975,NA,NA
"309","7/28/2022","440 GLY","1B",8.031,2.182,5.849,6,5.678333333,NA,4.40294444433333
"310","7/28/2022","440 GLY","2T",7.13,7.13,0,1,7.13,0,NA
"311","7/28/2022","440 GLY","2M",9.414,9.414,0,1,9.414,NA,NA
"312","7/28/2022","440 GLY","2B",NA,NA,0,1,7.245,NA,7.92966666666667
"313","7/28/2022","440 GLY","3T",NA,NA,0,0,NA,0,NA
"314","7/28/2022","440 GLY","3M",NA,NA,0,0,NA,NA,NA
"315","7/28/2022","440 GLY","3B",NA,NA,0,1,4.517,NA,NA
"316","7/29/2022","790 BCH","1T",15.858,3.722,12.136,19,7.804947368,0,NA
"317","7/29/2022","790 BCH","1M",13.38,4.848,8.532,4,8.262,NA,NA
"318","7/29/2022","790 BCH","1B",11.33,3.817,7.513,4,6.74125,NA,7.602732456
"319","7/29/2022","790 BCH","2T",18.51,6.813,11.697,5,12.6332,0,NA
